Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome
1,4,"[5, 6, 7, 8]",0.785,0.786,0.999000499833375,0.4245697106014983,Accept
2,3,"[5, 6, 7]",0.782,0.786,0.9964768092879589,0.3946333022415154,Accept
3,3,"[2, 5, 6]",0.785,0.786,-,-,Improved
4,4,"[1, 2, 5, 6]",0.767,0.786,0.9711153779642304,0.6582694717121866,Accept
5,4,"[2, 3, 5, 6]",0.794,0.794,-,-,Improved
6,4,"[3, 5, 6, 7]",0.793,0.794,0.9977487896946415,0.7225137054104563,Accept
7,3,"[3, 6, 7]",0.793,0.794,1.0,0.5585625470538893,Accept
8,3,"[3, 6, 9]",0.771,0.794,0.9336755860367881,0.8783358451546964,Accept
9,3,"[0, 6, 9]",0.826,0.826,-,-,Improved
10,3,"[0, 6, 9]",0.7,0.826,0.5804209598160628,0.943503430644923,Reject
11,4,"[0, 3, 6, 9]",0.811,0.826,0.9266394733416955,0.528913155122796,Accept
12,4,"[0, 3, 5, 9]",0.809,0.826,0.9881196518993461,0.3057961519036474,Accept
13,5,"[0, 1, 3, 5, 9]",0.808,0.826,0.9929943702826077,0.2554406789806877,Accept
14,6,"[0, 1, 3, 4, 5, 9]",0.847,0.847,-,-,Improved
15,7,"[0, 1, 3, 4, 5, 7, 9]",0.85,0.85,-,-,Improved
16,7,"[0, 1, 3, 4, 5, 7, 9]",0.719,0.85,0.22321019773382034,0.3693711708089876,Reject
17,7,"[0, 1, 3, 4, 5, 7, 9]",0.726,0.85,0.18824532648287823,0.8373206579906362,Reject
18,8,"[0, 1, 2, 3, 4, 5, 7, 9]",0.852,0.852,-,-,Improved
19,7,"[0, 2, 3, 4, 5, 7, 9]",0.826,0.852,0.6159096574884398,0.1126988634220667,Accept
20,7,"[0, 2, 3, 4, 5, 7, 9]",0.719,0.852,0.0957016617913373,0.545750225532331,Reject
21,6,"[0, 3, 4, 5, 7, 9]",0.821,0.852,0.8789735008790321,0.17351241956858743,Accept
22,7,"[0, 3, 4, 5, 7, 8, 9]",0.82,0.852,0.9701029631274144,0.8820569409940384,Accept
23,7,"[0, 3, 4, 5, 6, 7, 9]",0.819,0.852,0.9649205729072767,0.6444580010800423,Accept
24,7,"[0, 3, 4, 5, 6, 7, 9]",0.816,0.852,0.8815853217930918,0.9817897114869633,Reject
25,7,"[0, 1, 4, 5, 6, 7, 9]",0.851,0.852,-,-,Improved
26,7,"[0, 1, 4, 5, 7, 8, 9]",0.855,0.855,-,-,Improved
27,6,"[0, 1, 4, 5, 8, 9]",0.854,0.855,0.9338792203632438,0.5129061375719057,Accept
28,7,"[0, 1, 4, 5, 6, 8, 9]",0.854,0.855,1.0,0.70123417403307,Accept
29,6,"[0, 1, 4, 5, 6, 9]",0.856,0.856,-,-,Improved
