Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome
1,5,"[0, 1, 3, 8, 9]",0.695,0.719,0.9762857097579093,0.5921195093631372,Accept
2,5,"[1, 2, 3, 8, 9]",0.643,0.719,0.9406572267940962,0.45470678443765156,Accept
3,5,"[0, 1, 2, 3, 9]",0.703,0.719,-,-,Improved
4,4,"[0, 1, 2, 9]",0.694,0.719,0.9854518648641497,0.8989960221323458,Accept
5,4,"[0, 1, 4, 9]",0.712,0.719,-,-,Improved
6,4,"[0, 1, 3, 4]",0.707,0.719,0.988794513989796,0.3439600622172402,Accept
7,3,"[0, 1, 4]",0.696,0.719,0.9712550753422524,0.272949874116153,Accept
8,2,"[0, 4]",0.697,0.719,-,-,Improved
9,3,"[0, 4, 9]",0.694,0.719,0.9890508262530439,0.57445650878033,Accept
10,3,"[0, 2, 9]",0.702,0.719,-,-,Improved
11,4,"[0, 2, 3, 9]",0.708,0.719,-,-,Improved
12,5,"[0, 2, 3, 5, 9]",0.828,0.828,-,-,Improved
13,6,"[0, 2, 3, 4, 5, 9]",0.852,0.852,-,-,Improved
14,6,"[0, 2, 3, 4, 8, 9]",0.702,0.852,0.2891995294397751,0.17942989327994707,Accept
15,5,"[0, 3, 4, 8, 9]",0.696,0.852,0.9432886135443891,0.2668841048094176,Accept
16,4,"[0, 3, 4, 8]",0.708,0.852,-,-,Improved
17,5,"[0, 1, 3, 4, 8]",0.698,0.852,0.8739971498144812,0.2873549625334918,Accept
18,4,"[0, 1, 4, 8]",0.697,0.852,0.9842803736630831,0.24320124401431586,Accept
19,5,"[0, 1, 4, 7, 8]",0.716,0.852,-,-,Improved
20,5,"[0, 3, 4, 7, 8]",0.695,0.852,0.6309479630534875,0.5843803092847984,Accept
21,6,"[0, 2, 3, 4, 7, 8]",0.701,0.852,-,-,Improved
22,6,"[0, 3, 4, 6, 7, 8]",0.846,0.852,-,-,Improved
23,6,"[0, 1, 3, 4, 6, 7]",0.854,0.854,-,-,Improved
24,6,"[1, 3, 4, 6, 7, 8]",0.834,0.854,0.4316141469544909,0.013961603534256906,Accept
25,7,"[1, 2, 3, 4, 6, 7, 8]",0.847,0.854,-,-,Improved
26,7,"[1, 2, 3, 4, 6, 8, 9]",0.844,0.854,0.8399265621920531,0.048674748989808836,Accept
27,7,"[1, 2, 3, 4, 5, 8, 9]",0.845,0.854,-,-,Improved
28,7,"[0, 1, 3, 4, 5, 8, 9]",0.852,0.854,-,-,Improved
29,7,"[0, 1, 3, 4, 5, 8, 9]",0.714,0.854,2.115549570081219e-06,0.6679485485020059,Reject
