Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome
1,4,"[0, 3, 5, 8]",0.826,0.826,-,-,Improved
2,4,"[0, 1, 3, 5]",0.818,0.826,0.9906323873268041,0.8119937025862343,Accept
3,5,"[0, 1, 2, 3, 5]",0.816,0.826,0.9972356617489395,0.1857514089936625,Accept
4,4,"[0, 2, 3, 5]",0.825,0.826,-,-,Improved
5,3,"[2, 3, 5]",0.79,0.826,0.9351493726210065,0.9317007165812997,Accept
6,2,"[3, 5]",0.795,0.826,-,-,Improved
7,3,"[3, 5, 9]",0.79,0.826,0.9868301497944839,0.12563193533495953,Accept
8,4,"[0, 3, 5, 9]",0.815,0.826,-,-,Improved
9,4,"[3, 5, 8, 9]",0.81,0.826,0.9818180608601502,0.5097985320515712,Accept
10,5,"[1, 3, 5, 8, 9]",0.785,0.826,0.8976842973107932,0.153934286810816,Accept
11,5,"[1, 3, 5, 8, 9]",0.657,0.826,0.5219618921721366,0.9622935893572633,Reject
12,4,"[1, 5, 8, 9]",0.77,0.826,0.9142638019974373,0.0009898741473316486,Accept
13,3,"[1, 5, 8]",0.774,0.826,-,-,Improved
14,4,"[1, 2, 5, 8]",0.793,0.826,-,-,Improved
15,4,"[1, 4, 5, 8]",0.804,0.826,-,-,Improved
16,5,"[1, 4, 5, 8, 9]",0.815,0.826,-,-,Improved
17,6,"[0, 1, 4, 5, 8, 9]",0.841,0.841,-,-,Improved
18,7,"[0, 1, 4, 5, 6, 8, 9]",0.841,0.841,1.0,0.7287704460595644,Accept
19,7,"[0, 1, 4, 5, 6, 8, 9]",0.809,0.841,0.5507366989078231,0.9919560509805982,Reject
20,7,"[1, 3, 4, 5, 6, 8, 9]",0.825,0.841,0.7040672245826121,0.08348931872256693,Accept
21,7,"[1, 2, 3, 4, 5, 8, 9]",0.828,0.841,-,-,Improved
22,6,"[1, 2, 3, 4, 5, 9]",0.83,0.841,-,-,Improved
23,7,"[1, 2, 3, 4, 5, 6, 9]",0.831,0.841,-,-,Improved
24,6,"[1, 2, 3, 4, 5, 6]",0.838,0.841,-,-,Improved
25,6,"[1, 2, 3, 4, 6, 9]",0.831,0.841,0.7075306796739428,0.39898323427872295,Accept
26,5,"[2, 3, 4, 6, 9]",0.824,0.841,0.6656251712328523,0.6130638241757417,Accept
27,6,"[2, 3, 4, 5, 6, 9]",0.826,0.841,-,-,Improved
28,5,"[2, 3, 4, 5, 6]",0.841,0.841,-,-,Improved
29,6,"[2, 3, 4, 5, 6, 8]",0.833,0.841,0.46885551239154966,0.2854005750739885,Accept
