Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome
1,4,"[4, 5, 6, 7]",0.803,0.803,-,-,Improved
2,4,"[0, 4, 6, 7]",0.822,0.822,-,-,Improved
3,5,"[0, 4, 6, 7, 8]",0.824,0.824,-,-,Improved
4,4,"[0, 4, 6, 8]",0.824,0.824,1.0,0.8348386238359915,Accept
5,5,"[0, 4, 6, 8, 9]",0.824,0.824,1.0,0.6734505964858402,Accept
6,5,"[0, 4, 5, 6, 9]",0.818,0.824,0.9865685295900203,0.13837281547808744,Accept
7,5,"[0, 3, 4, 5, 9]",0.819,0.824,-,-,Improved
8,5,"[2, 3, 4, 5, 9]",0.82,0.824,-,-,Improved
9,5,"[0, 2, 3, 4, 5]",0.822,0.824,-,-,Improved
10,5,"[0, 1, 3, 4, 5]",0.853,0.853,-,-,Improved
11,6,"[0, 1, 3, 4, 5, 6]",0.853,0.853,1.0,0.49242888508027916,Accept
12,7,"[0, 1, 3, 4, 5, 6, 9]",0.847,0.853,0.9647807068869535,0.931497147527512,Accept
13,7,"[0, 1, 3, 4, 5, 6, 9]",0.814,0.853,0.792946611954916,0.9651461901852417,Reject
14,7,"[0, 1, 3, 4, 5, 7, 9]",0.839,0.853,0.9359741857830495,0.03415967229353778,Accept
15,6,"[0, 1, 3, 4, 5, 7]",0.849,0.853,-,-,Improved
16,7,"[0, 1, 2, 3, 4, 5, 7]",0.845,0.853,0.9552419919382584,0.8481829821372177,Accept
17,8,"[0, 1, 2, 3, 4, 5, 7, 9]",0.848,0.853,-,-,Improved
18,9,"[0, 1, 2, 3, 4, 5, 6, 7, 9]",0.847,0.853,0.9842803736630831,0.17381638749370543,Accept
19,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",0.847,0.853,1.0,0.8299908845891832,Accept
20,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.846,0.853,0.97830862634387,0.5659585076828444,Accept
21,9,"[0, 1, 2, 3, 5, 6, 7, 8, 9]",0.83,0.853,0.6617935089817699,0.13739080417227845,Accept
22,8,"[0, 1, 2, 3, 6, 7, 8, 9]",0.825,0.853,0.8591898850484128,0.06588144763943649,Accept
23,9,"[0, 1, 2, 3, 4, 6, 7, 8, 9]",0.847,0.853,-,-,Improved
24,9,"[0, 1, 2, 3, 4, 5, 7, 8, 9]",0.845,0.853,0.9194107283476162,0.3204786666938614,Accept
25,9,"[0, 1, 2, 3, 4, 5, 7, 8, 9]",0.724,0.853,0.002527782927429937,0.8476194982896927,Reject
26,9,"[0, 1, 3, 4, 5, 6, 7, 8, 9]",0.844,0.853,0.9435112986663687,0.432414126077309,Accept
27,8,"[0, 1, 3, 4, 6, 7, 8, 9]",0.842,0.853,0.87213039822626,0.3012934983323682,Accept
28,8,"[0, 1, 3, 4, 6, 7, 8, 9]",0.818,0.853,0.144927071753493,0.18156496347705287,Reject
29,8,"[0, 1, 2, 3, 4, 6, 7, 9]",0.843,0.853,-,-,Improved
